algorithm,size_bytes,size_kb,size_mb,encryption_time_s,decryption_time_s,total_time_s,encryption_latency_ms,decryption_latency_ms,encryption_throughput_MBps,decryption_throughput_MBps,verification
AES,1024,1.0,0.0009765625,6.917e-06,6.771e-06,1.3688e-05,0.006917,0.006771,141.1829550383114,144.227219022301,SUCCESS
DES,1024,1.0,0.0009765625,3.59165e-05,2.60215e-05,6.1938e-05,0.035916500000000004,0.026021500000000003,27.18980134478582,37.52906250600465,SUCCESS
AES,10240,10.0,0.009765625,7.10835e-05,5.60415e-05,0.00012712500000000001,0.07108350000000001,0.0560415,137.3824445898134,174.25702381271023,SUCCESS
DES,10240,10.0,0.009765625,0.0002061455,0.0001575,0.0003636455,0.2061455,0.1575,47.372486908518496,62.00396825396825,SUCCESS
AES,102400,100.0,0.09765625,0.0005056665,0.000392667,0.0008983335,0.5056664999999999,0.39266700000000004,193.1238276611166,248.69991621399302,SUCCESS
DES,102400,100.0,0.09765625,0.0020107505,0.0015319165,0.003542667,2.0107505000000003,1.5319165000000001,48.5670648844797,63.7477630144985,SUCCESS
AES,1048576,1024.0,1.0,0.005088021,0.0039117495,0.0089997705,5.0880209999999995,3.9117494999999995,196.54006931182084,255.64009147313755,SUCCESS
DES,1048576,1024.0,1.0,0.020591042,0.015689667,0.036280709,20.591042,15.689667,48.5648079392971,63.73621568896267,SUCCESS
